Category,Section,Standard Ref,Assessment Question,Compliance,Notes,Owner,Priority
Mandatory Clauses,5.2 - Context of the organization (PIMS),5.2.1,"Has the organisation addressed the PIMS requirement for understanding the organization and its context — PIMS scope and applicable privacy legislation, with documented evidence available for review?",Partially Compliant,Understanding the organization and its context — PIMS scope and applicable privacy legislation is partly in place but lacks consistent evidence or full documentation.,R. Hasan,Medium
Mandatory Clauses,5.2 - Context of the organization (PIMS),5.2.2,"Has the organisation addressed the PIMS requirement for understanding the needs and expectations of interested parties — PII principals and privacy regulators, with documented evidence available for review?",Not Compliant,Gap identified during review — understanding the needs and expectations of interested parties — PII principals and privacy regulators not yet formally established. Remediation plan required.,T. Ahmed,High
Mandatory Clauses,5.2 - Context of the organization (PIMS),5.2.3,"Has the organisation addressed the PIMS requirement for determining the scope of the information security management system — PIMS scope aligned to ISMS scope, with documented evidence available for review?",Not Compliant,Gap identified during review — determining the scope of the information security management system — PIMS scope aligned to ISMS scope not yet formally established. Remediation plan required.,R. Hasan,Low
Mandatory Clauses,5.2 - Context of the organization (PIMS),5.2.4,"Has the organisation addressed the PIMS requirement for information security management system — PIMS established, implemented, maintained and continually improved, with documented evidence available for review?",Not Applicable,,M. Karim,
Mandatory Clauses,5.4 - Planning (PIMS),5.4.1.2,"Has the organisation addressed the PIMS requirement for information security risk assessment — extended to privacy risk to PII principals, with documented evidence available for review?",Fully Compliant,,R. Hasan,
Mandatory Clauses,5.4 - Planning (PIMS),5.4.1.3,"Has the organisation addressed the PIMS requirement for information security risk treatment — extended to privacy risk treatment, with documented evidence available for review?",Fully Compliant,,M. Karim,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.1,"Has the organisation implemented, documented and evidenced its approach to identify and document purpose?",Fully Compliant,,A. Rahman,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.2,"Has the organisation implemented, documented and evidenced its approach to identify lawful basis?",Not Applicable,,N. Islam,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.3,"Has the organisation implemented, documented and evidenced its approach to determine when and how consent is to be obtained?",Partially Compliant,Determine when and how consent is to be obtained is partly in place but lacks consistent evidence or full documentation.,M. Karim,Low
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.4,"Has the organisation implemented, documented and evidenced its approach to obtain and record consent?",Fully Compliant,,S. Chowdhury,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.5,"Has the organisation implemented, documented and evidenced its approach to privacy impact assessment?",Fully Compliant,,A. Rahman,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.6,"Has the organisation implemented, documented and evidenced its approach to contracts with PII processors?",Fully Compliant,,T. Ahmed,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.7,"Has the organisation implemented, documented and evidenced its approach to joint PII controller?",Not Applicable,,A. Rahman,
Annex A Controls,A.7.2 - Conditions for collection and processing,A.7.2.8,"Has the organisation implemented, documented and evidenced its approach to records related to processing PII?",Partially Compliant,Records related to processing PII is partly in place but lacks consistent evidence or full documentation.,DPO Team,Medium
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.1,"Has the organisation implemented, documented and evidenced its approach to determining and fulfilling obligations to PII principals?",Not Compliant,Gap identified during review — determining and fulfilling obligations to PII principals has not been implemented. Remediation plan required.,T. Ahmed,Low
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.2,"Has the organisation implemented, documented and evidenced its approach to determining information for PII principals?",Fully Compliant,,Privacy Office,
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.3,"Has the organisation implemented, documented and evidenced its approach to providing information to PII principals?",Partially Compliant,Providing information to PII principals is partly in place but lacks consistent evidence or full documentation.,A. Rahman,Low
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.4,"Has the organisation implemented, documented and evidenced its approach to providing mechanism to modify or withdraw consent?",Fully Compliant,,R. Hasan,
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.5,"Has the organisation implemented, documented and evidenced its approach to providing mechanism to object to PII processing?",Fully Compliant,,N. Islam,
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.6,"Has the organisation implemented, documented and evidenced its approach to access, correction and/or erasure?",Not Compliant,"Gap identified during review — access, correction and/or erasure has not been implemented. Remediation plan required.",S. Chowdhury,Low
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.7,"Has the organisation implemented, documented and evidenced its approach to PII controllers' obligations to inform third parties?",Fully Compliant,,DPO Team,
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.8,"Has the organisation implemented, documented and evidenced its approach to providing copy of PII processed?",Fully Compliant,,Privacy Office,
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.9,"Has the organisation implemented, documented and evidenced its approach to handling requests?",Fully Compliant,,S. Chowdhury,
Annex A Controls,A.7.3 - Obligations to PII principals,A.7.3.10,"Has the organisation implemented, documented and evidenced its approach to automated decision making?",Not Compliant,Gap identified during review — automated decision making has not been implemented. Remediation plan required.,S. Chowdhury,Medium
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.1,"Has the organisation implemented, documented and evidenced its approach to limit collection?",Fully Compliant,,Privacy Office,
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.2,"Has the organisation implemented, documented and evidenced its approach to limit processing?",Partially Compliant,Limit processing is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,High
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.3,"Has the organisation implemented, documented and evidenced its approach to accuracy and quality?",Fully Compliant,,T. Ahmed,
Annex A Controls,A.7.4 - Privacy by design and privacy by default,A.7.4.4,"Has the organisation implemented, documented and evidenced its approach to PII minimization objectives?",Fully Compliant,,A. Rahman,
